card_name,cost,civilization,card_type,race,power,rarity,card_set,coll_num,card_text
"Geoshine, Spectral Knight",5,light,Creature,rainbow_phantom,4000,u,dm-07,7/55,"■ Whenever this creature attacks, you may choose a darkness or fire creature in the battle zone and tap it. (First choose what this creature is attacking. Then choose a creature to tap.)"
Justice Jamming,3,light,Spell,,,r,dm-07,8/55,"■ Tap all darkness creatures in the battle zone, or tap all fire creatures in the battle zone."
"Kizar Basiku, the Outrageous",5,light,Evolution Creature,initiate,8500,r,dm-07,9/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution—Put on one of your Initiates.
■ Fire stealth (This creature can't be blocked while your opponent has any fire cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)"
Lightning Charger,4,light,Spell,,,u,dm-07,10/55,"■ Choose one of your opponent's creatures in the battle zone and tap it.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
Miracle Portal,4,light,Spell,,,c,dm-07,11/55,"■ Choose one of your creatures in the battle zone. This turn, it can't be blocked and you ignore any effects that would prevent that creature from attacking your opponent. (For example, ignore summoning sickness and card effects that say ""This creature can't attack"" or ""This creature can't attack players."" Your creatures can't attack creatures this way.)"
Pulsar Tree,5,light,Creature,starlight_tree,1000,r,dm-07,12/55,"■ When one of your shields would be broken, you may destroy this creature instead."
"Rodi Gale, Night Guardian",4,light,Creature,guardian,3500,c,dm-07,13/55,■ Darkness stealth (This creature can't be blocked while your opponent has any darkness cards in his mana zone.)
"Rom, Vizier of Tendrils",4,light,Creature,initiate,2000,c,dm-07,14/55,"■ When you put this creature into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it."
"Rondobil, the Explorer",6,light,Creature,gladiator,5000,u,dm-07,15/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Add one of your creatures from the battle zone to your shields face down."
Aqua Agent,6,water,Creature,liquid_people,2000,c,dm-07,16/55,"■ Water stealth (This creature can't be blocked while your opponent has any water cards in his mana zone.)
■ When this creature would be destroyed, you may return it to your hand instead."
Aqua Fencer,7,water,Creature,liquid_people,3000,r,dm-07,17/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a card in your opponent's mana zone and return it to his hand."
Biancus,6,water,Creature,sea_hacker,3000,r,dm-07,18/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose one of your creatures in the battle zone. It can't be blocked this turn."
Cetibols,3,water,Creature,sea_hacker,2000,c,dm-07,19/55,"■ When this creature is destroyed, you may draw a card."
Curious Eye,3,water,Creature,cyber_virus,1000,u,dm-07,20/55,"■ Whenever this creature attacks, you may look at one of your opponent's shields. Then put it back where it was."
Garatyano,4,water,Creature,sea_hacker,2000,c,dm-07,21/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Look at the top 3 cards of your deck. Then put them back in any order."
Riptide Charger,5,water,Spell,,,u,dm-07,22/55,"■ Choose a creature in the battle zone and return it to its owner's hand.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
Splash Zebrafish,4,water,Creature,gel_fish,3000,u,dm-07,23/55,"■ When you put this creature into the battle zone, return a card from your mana zone to your hand.
■ This creature can't be blocked."
Titanium Cluster,4,water,Creature,cyber_cluster,4000,c,dm-07,24/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't be attacked.
■ This creature can't attack."
Trenchdive Shark,7,water,Creature,gel_fish,5000,r,dm-07,25/55,"■ When you put this creature into the battle zone, you may add up to 2 cards from your hand to your shields face down. If you do, choose the same number of your shields and put them into your hand. You can't use the ""shield trigger"" ability of those shields."
"Dream Pirate, Shadow of Theft",4,darkness,Creature,ghost,3000,c,dm-07,26/55,"■ When this creature would be destroyed, you may return it to your hand instead. If you do, put a card from your hand into your graveyard."
"Gezary, Undercover Doll",3,darkness,Creature,death_puppet,2000,c,dm-07,27/55,■ Nature stealth (This creature can't be blocked while your opponent has any nature cards in his mana zone.)
Gigabuster,5,darkness,Creature,chimera,5000,r,dm-07,28/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When you put this creature into the battle zone, choose one of your shields and put it into your hand. You can't use the ""shield trigger"" ability of that shield.
■ This creature can't attack."
Hopeless Vortex,5,darkness,Spell,,,r,dm-07,29/55,■ Destroy one of your opponent's creatures.
Phantasmal Horror Gigazabal,5,darkness,Evolution Creature,chimera,9000,r,dm-07,30/55,"■ Evolution—Put on one of your Chimeras.
■ Light stealth (This creature can't be blocked while your opponent has any light cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)"
Propeller Mutant,2,darkness,Creature,hedrian,1000,c,dm-07,31/55,"■ When this creature is destroyed, your opponent discards a card at random from his hand."
Scalpel Spider,3,darkness,Creature,brain_jacker,2000,u,dm-07,32/55,"■ Whenever this creature is attacked, it gets ""slayer"" until the end of the turn. (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)"
Three-Faced Ashura Fang,4,darkness,Creature,devil_mask,4000,u,dm-07,33/55,"■ When you put this creature into the battle zone, choose one of your shields and put it into your hand. You can't use the ""shield trigger"" ability of that shield."
Vacuum Gel,4,darkness,Spell,,,c,dm-07,34/55,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's untapped light or untapped nature creatures."
Venom Charger,3,darkness,Spell,,,u,dm-07,35/55,"■ One of your creatures in the battle zone gets ""slayer"" until the end of the turn. (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
Apocalypse Vise,7,fire,Spell,,,r,dm-07,36/55,■ Destroy any number of your opponent's creatures that have total power 8000 or less.
Astronaut Skyterror,5,fire,Creature,armored_wyvern,4000,c,dm-07,37/55,"■ While you have no other creatures in the battle zone, this creature has ""Power attacker +4000 (While attacking, this creature gets +4000 power)"" and ""Double breaker (This creature breaks 2 shields)."""
Cratersaur,3,fire,Creature,rock_beast,2000,u,dm-07,38/55,"■ While you have no shields, this creature can attack untapped creatures and has ""Power attacker +3000 (While attacking, this creature gets +3000 power)."""
Energy Charger,3,fire,Spell,,,u,dm-07,39/55,"■ One of your creatures gets +2000 power until the end of the turn.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
Gazarias Dragon,5,fire,Creature,armored_dragon,4000,c,dm-07,40/55,"■ While you have no shields, this creature gets +4000 power and has ""double breaker (This creature breaks 2 shields)."""
Kipo's Contraption,6,fire,Creature,xenoparts,3000,r,dm-07,41/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Destroy one of your opponent's creatures that has power 2000 or less."
Kooc Pollon,2,fire,Creature,fire_bird,1000,c,dm-07,42/55,■ This creature can't be attacked.
Otherworldly Warrior Naglu,6,fire,Creature,armorloid,4000,u,dm-07,43/55,"■ This creature can't be attacked.
■ Power attacker +3000 (While attacking, this creature gets +3000 power.)
■ Double breaker (This creature breaks 2 shields.)"
"Valkrowzer, Ultra Rock Beast",6,fire,Evolution Creature,rock_beast,9000,r,dm-07,44/55,"■ Evolution—Put on one of your Rock Beasts.
■ Water stealth (This creature can't be blocked while your opponent has any water cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)"
Wild Racer Chief Garan,3,fire,Creature,human,2000,c,dm-07,45/55,"■ Power attacker +1000 (While attacking, this creature gets +1000 power.)
■ Light stealth (This creature can't be blocked while your opponent has any light cards in his mana zone.)"
Brood Shell,4,nature,Creature,colony_beetle,3000,u,dm-07,46/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Return a creature from your mana zone to your hand."
Cryptic Totem,6,nature,Creature,mystery_totem,6000,r,dm-07,47/55,"■ Double breaker (This creature breaks 2 shields.)
■ While this creature is tapped, your opponent can't use the ""shield trigger"" ability of his shields."
Freezing Icehammer,3,nature,Spell,,,c,dm-07,48/55,■ Choose one of your opponent's water or darkness creatures in the battle zone. Your opponent puts that creature into his mana zone.
Fruit of Eternity,4,nature,Spell,,,u,dm-07,49/55,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Whenever any of your creatures would be destroyed this turn, put it into your mana zone instead."
Launch Locust,3,nature,Creature,giant_insect,2000,c,dm-07,50/55,"■ While attacking, this creature gets +1000 power for each other creature you have in the battle zone."
Mulch Charger,3,nature,Spell,,,u,dm-07,51/55,"■ Put one of your creatures from the battle zone into your mana zone.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
"Popple, Flowerpetal Dancer",4,nature,Creature,snow_faerie,2000,c,dm-07,52/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Put the top card of your deck into your mana zone."
"Stinger Horn, the Delver",4,nature,Creature,horned_beast,3000,c,dm-07,53/55,"■ Power attacker +1000 (While attacking, this creature gets +1000 power.)
■ Water stealth (This creature can't be blocked while your opponent has any water cards in his mana zone.)"
"Tangle Fist, the Weaver",4,nature,Creature,beast_folk,2000,r,dm-07,54/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Put up to 3 cards from your hand into your mana zone."
"World Tree, Root of Life",6,nature,Evolution Creature,tree_folk,7000,r,dm-07,55/55,"■ Evolution—Put on one of your Tree Folk.
■ Power attacker +2000 (While attacking, this creature gets +2000 power.)
■ Darkness stealth (This creature can't be blocked while your opponent has any darkness cards in his mana zone.)
■ Double breaker (This creature breaks 2 shields.)"
"Nastasha, Channeler of Suns",7,light,Creature,mecha_del_sol,6000,sr,dm-08,S1/S5,"■ Double breaker (This creature breaks 2 shields.)
■ When one of your shields would be broken, you may destroy this creature instead."
Emperor Quazla,6,water,Evolution Creature,cyber_lord,5000,sr,dm-08,S2/S5,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution—Put on one of your Cyber Lords.
■ Whenever your opponent uses the ""shield trigger"" ability of one of his shields, draw up to 2 cards."
Super Necrodragon Abzo Dolba,6,darkness,Evolution Creature,zombie_dragon,11000,sr,dm-08,S3/S5,"■ Evolution—Put on one of your creatures that has Dragon in its race.
■ This creature gets +2000 power for each creature in your graveyard.
■ Triple breaker (This creature breaks 3 shields.)"
Uberdragon Bajula,7,fire,Evolution Creature,armored_dragon,13000,sr,dm-08,S4/S5,"■ Evolution—Put on one of your creatures that has Dragon in its race.
■ Whenever this creature attacks, choose up to 2 cards in your opponent's mana zone. Your opponent puts those cards into his graveyard.
■ Triple breaker (This creature breaks 3 shields.)"
Super Terradragon Bailas Gale,5,nature,Evolution Creature,earth_dragon,9000,sr,dm-08,S5/S5,"■ Evolution—Put on one of your creatures that has Dragon in its race.
■ After you cast a spell by using its ""shield trigger"" ability, put it into your hand instead of your graveyard.
■ Double breaker (This creature breaks 2 shields.)"
"Kuukai, Finder of Karma",5,light,Evolution Creature,mecha_thunder,10500,vr,dm-08,1/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution—Put on one of your Mecha Thunders.
■ Whenever this creature blocks, untap it after it battles.
■ This creature can't attack players."
Aqua Ranger,6,water,Creature,liquid_people,3000,vr,dm-08,2/55,"■ This creature can't be blocked.
■ When this creature would be destroyed, put it into your hand instead."
"Megaria, Empress of Dread",5,darkness,Creature,dark_lord,5000,vr,dm-08,3/55,"■ Each creature in the battle zone has ""slayer."" (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)"
Magmadragon Jagalzor,6,fire,Creature,volcano_dragon,6000,vr,dm-08,4/55,"■ Double breaker (This creature breaks 2 shields.)
■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Each of your creatures in the battle zone has ""speed attacker."" (A creature that has ""speed attacker"" doesn't get summoning sickness.)"
"Kachua, Keeper of the Icegate",7,nature,Creature,snow_faerie,3000,vr,dm-08,5/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Search your deck. You may take a creature that has Dragon in its race from your deck and put it into the battle zone. Then shuffle your deck. That creature has ""speed attacker."" At the end of the turn, destroy it."
Dracobarrier,3,light,Spell,,,u,dm-08,6/55,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose one of your opponent's creatures in the battle zone and tap it. If it has Dragon in its race, add the top card of your deck to your shields face down."
Laser Whip,4,light,Spell,,,u,dm-08,7/55,"■ Choose one of your opponent's creatures in the battle zone and tap it. Then you may choose one of your creatures in the battle zone. If you do, it can't be blocked this turn."
Lunar Charger,3,light,Spell,,,c,dm-08,8/55,"■ Choose up to 2 of your creatures in the battle zone. At the end of the turn, you may untap them.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
"Migalo, Vizier of Spycraft",2,light,Creature,initiate,1500,c,dm-08,9/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Whenever this creature attacks, you may look at 2 of your opponent's shields. Then put them back where they were."
"Misha, Channeler of Suns",5,light,Creature,mecha_del_sol,5000,c,dm-08,10/55,■ This creature can't be attacked by any creature that has Dragon in its race.
"Nariel, the Oracle",4,light,Creature,light_bringer,1000,r,dm-08,11/55,■ Creatures that have power 3000 or more can't attack. (Creatures that have power less than 3000 and get extra power while attacking can still attack.)
"Sasha, Channeler of Suns",8,light,Creature,mecha_del_sol,9500,r,dm-08,12/55,"■ Dragon blocker (Whenever an opponent's creature that has Dragon in its race attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ While battling a creature that has Dragon in its race, this creature gets +6000 power.
■ Double breaker (This creature breaks 2 shields.)"
"Sol Galla, Halo Guardian",2,light,Creature,guardian,1000,c,dm-08,13/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever a player casts a spell, this creature gets +3000 power until the end of the turn. (Do what the spell says before this creature gets the extra power.)"
Solar Grass,5,light,Creature,starlight_tree,3000,u,dm-08,14/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Whenever this creature is attacking your opponent and isn't blocked, untap all your creatures in the battle zone except Solar Grasses."
"Thrumiss, Zephyr Guardian",6,light,Creature,guardian,3000,r,dm-08,15/55,"■ Whenever any of your creatures attacks, you may choose one of your opponent's creatures in the battle zone and tap it. (First choose what your creature is attacking. Then choose a creature to tap.)"
Aqua Grappler,5,water,Creature,liquid_people,3000,r,dm-08,16/55,"■ Whenever this creature attacks, you may draw a card for each other tapped creature you have in the battle zone."
Candy Cluster,3,water,Creature,cyber_cluster,1000,c,dm-08,17/55,■ This creature can't be blocked.
Eureka Charger,4,water,Spell,,,c,dm-08,18/55,"■ Draw a card.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
Grape Globbo,2,water,Creature,cyber_virus,1000,c,dm-08,19/55,"■ When you put this creature into the battle zone, look at your opponent's hand."
Illusion Fish,4,water,Creature,gel_fish,3000,c,dm-08,20/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  This creature can't be blocked."
Lalicious,6,water,Creature,sea_hacker,4000,u,dm-08,21/55,"■ Whenever this creature attacks, you may look at your opponent's hand and at the top card of his deck."
Marine Scramble,7,water,Spell,,,r,dm-08,22/55,■ Your creatures in the battle zone can't be blocked this turn.
Prowling Elephish,4,water,Creature,gel_fish,2000,u,dm-08,23/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)"
Vikorakys,3,water,Creature,sea_hacker,1000,r,dm-08,24/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  When this creature attacks, search your deck. You may take a card from your deck and put it into your hand. Then shuffle your deck."
Wave Lance,3,water,Spell,,,u,dm-08,25/55,"■ Choose a creature in the battle zone and return it to its owner's hand. If it has Dragon in its race, you may draw a card."
Corpse Charger,4,darkness,Spell,,,c,dm-08,26/55,"■ Put a creature from your graveyard into your hand.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
Cranium Clamp,4,darkness,Spell,,,r,dm-08,27/55,■ Your opponent chooses and discards 2 cards from his hand.
Dimension Splitter,3,darkness,Creature,brain_jacker,1000,u,dm-08,28/55,"■ When you put this creature into the battle zone, you may return all creatures that have Dragon in their race from your graveyard to your hand."
"Gachack, Mechanical Doll",3,darkness,Creature,death_puppet,2000,u,dm-08,29/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Whenever this creature is attacking your opponent and isn't blocked, you may destroy a creature."
Gigaclaws,5,darkness,Creature,chimera,2000,c,dm-08,30/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Whenever this creature attacks, your opponent discards his hand."
Motorcycle Mutant,4,darkness,Creature,hedrian,6000,u,dm-08,31/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ When you put another creature into the battle zone, destroy this creature."
Necrodragon Galbazeek,6,darkness,Creature,zombie_dragon,9000,r,dm-08,32/55,"■ Whenever this creature attacks, choose one of your shields and put it into your graveyard.
■ Double breaker (This creature breaks 2 shields.)"
Necrodragon Giland,4,darkness,Creature,zombie_dragon,6000,c,dm-08,33/55,"■ Double breaker (This creature breaks 2 shields.)
■ When this creature battles, destroy it after the battle."
"Scream Slicer, Shadow of Fear",6,darkness,Creature,ghost,4000,r,dm-08,34/55,"■ Whenever you put a Dragonoid or a creature that has Dragon in its race into the battle zone, destroy the creature that has the least power in the battle zone. If there's a tie, you choose from among the tied creatures."
Tyrant Worm,1,darkness,Creature,parasite_worm,2000,c,dm-08,35/55,"■ When you put another creature into the battle zone, destroy this creature."
Bruiser Dragon,5,fire,Creature,armored_dragon,5000,u,dm-08,36/55,"■ When this creature is destroyed, choose one of your shields and put it into your graveyard."
Furious Onslaught,4,fire,Spell,,,r,dm-08,37/55,"■ Until the end of the turn, each of your Dragonoids in the battle zone is an Armored Dragon in addition to its other races, gets +4000 power, and has ""Double breaker (This creature breaks 2 shields)."""
"Kyrstron, Lair Delver",5,fire,Creature,dragonoid,1000,r,dm-08,38/55,"■ When this creature is destroyed, you may put a creature that has Dragon in its race from your hand into the battle zone."
Magmadragon Melgars,4,fire,Creature,volcano_dragon,4000,c,dm-08,39/55,
Missile Soldier Ultimo,3,fire,Creature,dragonoid,2000,c,dm-08,40/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  This creature can attack untapped creatures and has ""Power attacker +4000 (While attacking, this creature gets +4000 power)."""
Rocketdive Skyterror,4,fire,Creature,armored_wyvern,5000,u,dm-08,41/55,"■ This creature can't be attacked.
■ This creature can't attack players.
■ Power attacker +1000 (While attacking, this creature gets +1000 power.)"
Slaphappy Soldier Galback,4,fire,Creature,dragonoid,3000,r,dm-08,42/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Whenever this creature attacks, you may destroy one of your opponent's creatures that has power 4000 or less."
Torpedo Skyterror,5,fire,Creature,armored_wyvern,4000,c,dm-08,43/55,"■ While attacking, this creature gets +2000 power for each other tapped creature you have in the battle zone."
Totto Pipicchi,3,fire,Creature,fire_bird,1000,c,dm-08,44/55,"■ Each creature in the battle zone that has Dragon in its race has ""speed attacker."" (A creature that has ""speed attacker"" doesn't get summoning sickness.)"
Volcano Charger,4,fire,Spell,,,u,dm-08,45/55,"■ Destroy one of your opponent's creatures that has power 2000 or less.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
"Bakkra Horn, the Silent",4,nature,Creature,horned_beast,2000,c,dm-08,46/55,"■ Whenever you put a Dragonoid or a creature that has Dragon in its race into the battle zone, put the top card of your deck into your mana zone."
Carbonite Scarab,4,nature,Creature,giant_insect,3000,r,dm-08,47/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Whenever this creature is attacking your opponent and becomes blocked, it breaks one of your opponent's shields."
Coliseum Shell,4,nature,Creature,colony_beetle,3000,u,dm-08,48/55,"■ Whenever this creature becomes blocked, you may put the top card of your deck into your mana zone."
Dracodance Totem,2,nature,Creature,mystery_totem,1000,u,dm-08,49/55,"■ When this creature would be destroyed, if you have a creature that has Dragon in its race in your mana zone, put this creature into your mana zone instead of destroying it. Then return a creature that has Dragon in its race from your mana zone to your hand."
Muscle Charger,3,nature,Spell,,,u,dm-08,50/55,"■ Each of your creatures in the battle zone gets +3000 power until the end of the turn.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
Quixotic Hero Swine Snout,2,nature,Creature,beast_folk,1000,c,dm-08,51/55,"■ Whenever another creature is put into the battle zone, this creature gets +3000 power until the end of the turn."
Root Charger,3,nature,Spell,,,r,dm-08,52/55,"■ Whenever any of your creatures would be destroyed this turn, put it into your mana zone instead.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
"Senia, Orchard Avenger",4,nature,Creature,tree_folk,3000,c,dm-08,53/55,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  This creature gets +5000 power and has ""double breaker (This creature breaks 2 shields)."""
Terradragon Gamiratar,4,nature,Creature,earth_dragon,6000,r,dm-08,54/55,"■ When you put this creature into the battle zone, your opponent may choose a creature in his hand and put it into the battle zone.
■ Double breaker (This creature breaks 2 shields.)"
Terradragon Regarion,5,nature,Creature,earth_dragon,4000,c,dm-08,55/55,"■ Power attacker +3000 (While attacking, this creature gets +3000 power.)
■ Double breaker (This creature breaks 2 shields.)"
"Petrova, Channeler of Suns",5,light,Creature,mecha_del_sol,3500,sr,dm-09,S1/S5,"■ When you put this creature into the battle zone, choose a race other than Mecha Del Sol. Each creature of that race gets +4000 power.
■ Whenever your opponent would choose a creature in the battle zone, he can't choose this one. (It can still be attacked and blocked.)"
Aqua Master,6,water,Creature,liquid_people,4000,sr,dm-09,S2/S5,"■ Whenever this creature is attacking your opponent and isn't blocked, choose one of your opponent's shields and turn it face up. (It stays face up while it's in the shield zone.)"
"Stallob, the Lifequasher",8,darkness,Creature,demon_command,6000,sr,dm-09,S3/S5,"■ Double breaker (This creature breaks 2 shields.)
■ When this creature is destroyed, destroy all creatures."
Magmadragon Ogrist Vhal,7,fire,Creature,volcano_dragon,0,sr,dm-09,S4/S5,"■ This creature gets +3000 power for each card in your hand. (A creature that has power 0 or less is destroyed.)
■ While this creature has power 6000 or more, it has ""Double breaker (This creature breaks 2 shields).""
■ While this creature has power 15000 or more, it has ""Triple breaker (This creature breaks 3 shields)"" instead of ""double breaker."""
Stratosphere Giant,8,nature,Creature,gianto,13000,sr,dm-09,S5/S5,"■ When you put this creature into the battle zone, your opponent chooses up to 2 creatures in his hand and puts them into the battle zone.
■ Triple breaker (This creature breaks 3 shields.)"
"Glena Vuele, the Hypnotic",5,light,Evolution Creature,guardian,8500,vr,dm-09,1/55,"■ Evolution—Put on one of your Guardians.
■ Double breaker (This creature breaks 2 shields.)
■ Whenever your opponent uses the ""shield trigger"" ability of one of his shields, you may add the top card of your deck to your shields face down."
Marching Motherboard,6,water,Creature,cyber_virus,2000,vr,dm-09,2/55,"■ Whenever you put another creature that has Cyber in its race into the battle zone, you may draw a card."
"Azaghast, Tyrant of Shadows",7,darkness,Evolution Creature,dark_lord,9000,vr,dm-09,3/55,"■ Evolution—Put on one of your Dark Lords.
■ Whenever you put a Ghost into the battle zone, you may destroy one of your opponent's untapped creatures.
■ Double breaker (This creature breaks 2 shields.)"
"Balesk Baj, the Timeburner",9,fire,Evolution Creature,armored_wyvern,8000,vr,dm-09,4/55,"■ Evolution—Put on one of your Armored Wyverns.
■ Whenever this creature is attacking your opponent and isn't blocked, take an extra turn after this one.
■ Double breaker (This creature breaks 2 shields.)
■ At the end of your turn, return this creature to your hand."
"Vreemah, Freaky Mojo Totem",5,nature,Creature,mystery_totem,4000,vr,dm-09,5/55,"■ Whenever you put another creature into the battle zone, each Beast Folk in the battle zone gets +2000 power and ""double breaker"" until the end of the turn. (A creature that has ""double breaker"" breaks 2 shields.)"
"Betrale, the Explorer",5,light,Creature,gladiator,5000,u,dm-09,6/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.
■ At the end of each of your turns, you may untap this creature."
Cosmic Wing,3,light,Spell,,,c,dm-09,7/55,■ Choose one of your creatures in the battle zone. It can't be blocked this turn.
"Cyclolink, Spectral Knight",4,light,Creature,rainbow_phantom,3000,c,dm-09,8/55,"■ Whenever this creature is attacking your opponent and isn't blocked, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck."
"Jil Warka, Time Guardian",3,light,Creature,guardian,2000,c,dm-09,9/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.
■ When this creature is destroyed, choose up to 2 of your opponent's creatures in the battle zone and tap them."
"Kalute, Vizier of Eternity",2,light,Creature,initiate,1000,c,dm-09,10/55,"■ When this creature would be destroyed, if another Kalute, Vizier of Eternity is in the battle zone, return this creature to your hand instead."
"Micute, the Oracle",5,light,Creature,light_bringer,4000,r,dm-09,11/55,"■ Whenever you put a Guardian into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it."
"Mihail, Celestial Elemental",8,light,Creature,angel_command,4000,r,dm-09,12/55,"■ Whenever another creature would be destroyed, it stays in the battle zone instead."
Nexus Charger,6,light,Spell,,,r,dm-09,13/55,"■ Add a card from your hand to your shields face down.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
"Tra Rion, Penumbra Guardian",6,light,Creature,guardian,5500,u,dm-09,14/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a race. At the end of this turn, untap all creatures of that race in the battle zone."
Unified Resistance,2,light,Spell,,,u,dm-09,15/55,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose a race. Until the start of your next turn, each of your creatures in the battle zone of that race gets ""blocker""."
Abduction Charger,7,water,Spell,,,r,dm-09,16/55,"■ Choose up to 2 creatures in the battle zone and return them to their owners' hands.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)"
Emperor Maroll,3,water,Evolution Creature,cyber_lord,5000,r,dm-09,17/55,"■ Evolution—Put on one of your Cyber Lords.
■ Whenever you put another creature into the battle zone, return this creature to your hand.
■ Whenever this creature becomes blocked, return the blocking creature to its owner's hand. (This creature stays tapped.)"
Hokira,4,water,Creature,cyber_lord,3000,u,dm-09,18/55,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a race. Whenever one of your creatures of that race would be destroyed this turn, return it to your hand instead."
Impossible Tunnel,5,water,Spell,,,c,dm-09,19/55,■ Choose a race. Creatures of that race can't be blocked this turn.
Kelp Candle,2,water,Creature,cyber_virus,1000,c,dm-09,20/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ Whenever this creature blocks, look at the top 4 cards of your deck. Put one of them into your hand, and put the rest on the bottom of your deck in any order."
Scout Cluster,3,water,Creature,cyber_cluster,4000,c,dm-09,21/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever you put another creature into the battle zone, return this creature from the battle zone to your hand."
